Precinct,1ST CHOICE COUNCIL MEMBER WARD THIRTEEN WARD 13,2ND CHOICE COUNCIL MEMBER WARD THIRTEEN WARD 13,3RD CHOICE COUNCIL MEMBER WARD THIRTEEN WARD 13,COUNT
MINNEAPOLIS W-13 P-01,MATT PERRY,undervote,undervote,1
MINNEAPOLIS W-13 P-06,MATT PERRY,LINEA PALMISANO,MISSY DURANT,1
MINNEAPOLIS W-13 P-03,LINEA PALMISANO,MISSY DURANT,undervote,1
MINNEAPOLIS W-13 P-09,LINEA PALMISANO,MATT PERRY,undervote,1
MINNEAPOLIS W-13 P-07,LINEA PALMISANO,MISSY DURANT,undervote,1
MINNEAPOLIS W-13 P-05,MATT PERRY,undervote,undervote,1
MINNEAPOLIS W-13 P-06,LINEA PALMISANO,MISSY DURANT,MATT PERRY,1
MINNEAPOLIS W-13 P-02,MATT PERRY,MISSY DURANT,LINEA PALMISANO,1
MINNEAPOLIS W-13 P-03,MATT PERRY,LINEA PALMISANO,MISSY DURANT,1
MINNEAPOLIS W-13 P-07,BOB REUER,MATT PERRY,LINEA PALMISANO,1
MINNEAPOLIS W-13 P-03,MATT PERRY,LINEA PALMISANO,MISSY DURANT,1
MINNEAPOLIS W-13 P-06,MATT PERRY,LINEA PALMISANO,undervote,1
MINNEAPOLIS W-13 P-01,LINEA PALMISANO,MISSY DURANT,MATT PERRY,1
MINNEAPOLIS W-13 P-07,LINEA PALMISANO,undervote,undervote,1
MINNEAPOLIS W-13 P-01,BOB REUER,undervote,undervote,1
MINNEAPOLIS W-13 P-05,LINEA PALMISANO,MISSY DURANT,MATT PERRY,1
MINNEAPOLIS W-13 P-02,MATT PERRY,MISSY DURANT,BOB REUER,1
MINNEAPOLIS W-13 P-06,LINEA PALMISANO,MATT PERRY,MISSY DURANT,1
MINNEAPOLIS W-13 P-09,LINEA PALMISANO,MATT PERRY,undervote,1
MINNEAPOLIS W-13 P-06,MATT PERRY,BOB REUER,MISSY DURANT,1
MINNEAPOLIS W-13 P-08,LINEA PALMISANO,MATT PERRY,undervote,1
MINNEAPOLIS W-13 P-01,LINEA PALMISANO,BOB REUER,DAVID REGAN,1
MINNEAPOLIS W-13 P-03,MATT PERRY,undervote,undervote,1
MINNEAPOLIS W-13 P-03,MATT PERRY,LINEA PALMISANO,MISSY DURANT,1
