Precinct,1ST CHOICE COUNCIL MEMBER WARD NINE WARD 9,2ND CHOICE COUNCIL MEMBER WARD NINE WARD 9,3RD CHOICE COUNCIL MEMBER WARD NINE WARD 9,COUNT
MINNEAPOLIS W-9 P-06,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,undervote,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-01,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-04,ABDI ABDULLE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-04,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-07,TY MOORE,CHARLES CURTIS,ALONDRA CANO,1
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-01,CHARLES CURTIS,TY MOORE,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,CHARLES CURTIS,TY MOORE,1
MINNEAPOLIS W-9 P-06,TY MOORE,undervote,undervote,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,undervote,undervote,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,GREGORY MCDONALD,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,ABDI ABDULLE,TY MOORE,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-04,ALONDRA CANO,TY MOORE,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-01,TY MOORE,PAT FLEETHAM,ALONDRA CANO,1
MINNEAPOLIS W-9 P-04,ABDI ABDULLE,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,UWI,UWI,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,PAT FLEETHAM,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-04,ALONDRA CANO,ABDI ABDULLE,undervote,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-04,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-05,TY MOORE,PAT FLEETHAM,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-05,ABDI ABDULLE,CHARLES CURTIS,undervote,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,ABDI ABDULLE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,CHARLES CURTIS,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,PAT FLEETHAM,TY MOORE,1
MINNEAPOLIS W-9 P-01,CHARLES CURTIS,PAT FLEETHAM,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-01,CHARLES CURTIS,ALONDRA CANO,TY MOORE,1
MINNEAPOLIS W-9 P-02,ABDI ABDULLE,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-01,TY MOORE,PAT FLEETHAM,ALONDRA CANO,1
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-05,ALONDRA CANO,UWI,UWI,1
MINNEAPOLIS W-9 P-01,TY MOORE,UWI,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-07,TY MOORE,PAT FLEETHAM,ALONDRA CANO,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,CHARLES CURTIS,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-04,ALONDRA CANO,PAT FLEETHAM,TY MOORE,1
MINNEAPOLIS W-9 P-05,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,GREGORY MCDONALD,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-02,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-01,ALONDRA CANO,undervote,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,TY MOORE,ALONDRA CANO,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,TY MOORE,CHARLES CURTIS,1
MINNEAPOLIS W-9 P-04,ABDI ABDULLE,ABDI ABDULLE,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-01,TY MOORE,CHARLES CURTIS,GREGORY MCDONALD,1
MINNEAPOLIS W-9 P-01,CHARLES CURTIS,undervote,undervote,1
MINNEAPOLIS W-9 P-02,ALONDRA CANO,ABDI ABDULLE,TY MOORE,1
MINNEAPOLIS W-9 P-07,CHARLES CURTIS,undervote,undervote,1
MINNEAPOLIS W-9 P-06,ALONDRA CANO,TY MOORE,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-08,GREGORY MCDONALD,GREGORY MCDONALD,undervote,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,CHARLES CURTIS,PAT FLEETHAM,1
MINNEAPOLIS W-9 P-07,TY MOORE,ALONDRA CANO,ABDI ABDULLE,1
MINNEAPOLIS W-9 P-07,ALONDRA CANO,ABDI ABDULLE,undervote,1
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,undervote,1
MINNEAPOLIS W-9 P-03,ALONDRA CANO,TY MOORE,undervote,1
MINNEAPOLIS W-9 P-06,TY MOORE,ALONDRA CANO,CHARLES CURTIS,1
